TrackID,ParticleName,Energy
2,Pa234[73.920X],4.15108e-07
1,Th234,0
4,e-,0.0131467
14,opticalphoton,3.65249e-06
13,opticalphoton,4.01103e-06
12,opticalphoton,3.63062e-06
11,opticalphoton,3.90707e-06
10,opticalphoton,3.70408e-06
9,e-,9.494e-05
8,e-,9.491e-05
15,opticalphoton,3.44399e-06
7,e-,8.849e-05
6,e-,9.557e-05
5,e-,6.57e-05
3,anti_nu_e,0.166222
2,Pa234[73.920X],9.94769e-08
1,Th234,0
4,e-,0.034483
44,opticalphoton,2.37129e-06
43,opticalphoton,2.46023e-06
42,opticalphoton,3.70795e-06
41,opticalphoton,3.0398e-06
40,opticalphoton,2.74669e-06
39,opticalphoton,2.93094e-06
38,opticalphoton,3.37357e-06
37,opticalphoton,2.91363e-06
36,opticalphoton,2.53065e-06
35,opticalphoton,2.23062e-06
34,opticalphoton,3.50187e-06
33,opticalphoton,3.90654e-06
32,opticalphoton,2.75864e-06
31,opticalphoton,2.38261e-06
30,opticalphoton,3.34343e-06
29,opticalphoton,3.57616e-06
28,e-,9.494e-05
27,e-,9.494e-05
26,e-,8.783e-05
25,e-,8.783e-05
24,e-,9.494e-05
23,e-,8.783e-05
22,e-,8.783e-05
21,e-,8.783e-05
20,e-,9.494e-05
19,e-,8.783e-05
18,e-,8.783e-05
17,e-,9.491e-05
16,e-,8.849e-05
15,e-,8.849e-05
14,e-,8.849e-05
13,e-,9.56e-05
12,e-,9.557e-05
11,e-,2.925e-05
10,e-,8.783e-05
9,e-,2.994e-05
8,e-,9.494e-05
7,e-,2.994e-05
6,e-,6.57e-05
5,e-,0.00047882
3,anti_nu_e,0.144885
2,Pa234[73.920X],2.26428e-07
1,Th234,0
4,e-,0.0834534
61,opticalphoton,2.56322e-06
60,opticalphoton,3.7855e-06
59,opticalphoton,3.59852e-06
58,opticalphoton,3.51406e-06
57,opticalphoton,3.64093e-06
56,opticalphoton,3.70825e-06
55,opticalphoton,3.50347e-06
54,opticalphoton,3.38538e-06
53,opticalphoton,2.53459e-06
52,opticalphoton,3.36316e-06
51,opticalphoton,3.46262e-06
50,opticalphoton,2.93265e-06
49,opticalphoton,3.35772e-06
48,opticalphoton,4.0058e-06
47,opticalphoton,3.67343e-06
46,opticalphoton,2.64226e-06
45,opticalphoton,3.60241e-06
44,opticalphoton,3.58729e-06
43,opticalphoton,3.85152e-06
42,opticalphoton,3.61282e-06
41,opticalphoton,3.27122e-06
40,opticalphoton,2.64074e-06
39,opticalphoton,3.81774e-06
38,opticalphoton,2.68934e-06
37,opticalphoton,3.90716e-06
